,37F-OL15R1_FitzroyOil15R1,38F-OL30R1_FitzroyOil30R1,39F-OL45R1_FitzroyOil45R1,40F-OL15R2_FitzroyOil15R2,41F-OL30R2_FitzroyOil30R2,42F-OL45R2_FitzroyOil45R2,43F-OL15R3_FitzroyOil15R3,44F-OL30R3_FitzroyOil30R3,45F-OL45R3_FitzroyOil45R3,46F-Ct15R1_FitzroyControl15R1,47F-Ct30R1_FitzroyControl30R1,48F-Ct45R1_FitzroyControl45R1,49F-Ct15R2_FitzroyControl15R2,50F-Ct30R2_FitzroyControl30R2,51F-Ct45R2_FitzroyControl45R2,52F-Ct15R3_FitzroyControl15R3,53F-Ct30R3_FitzroyControl30R3,54F-Ct45R3_FitzroyControl45R3,55C-OL15R1_CambalinOil15R1,56C-OL30R1_CambalinOil30R1,57C-OL45R1_CambalinOil45R1,58C-OL15R2_CambalinOil15R2,59C-OL30R2_CambalinOil30R2,60C-OL45R2_CambalinOil45R2,61C-OL15R3_CambalinOil15R3,62C-OL30R3_CambalinOil30R3,63C-OL45R3_CambalinOil45R3,64C-Ct15R1_CambalinControl15R1,65C-Ct30R1_CambalinControl30R1,66C-Ct45R1_CambalinControl45R1,67C-Ct15R2_CambalinControl15R2,68C-Ct30R2_CambalinControl30R2,69C-Ct45R2_CambalinControl45R2,70C-Ct15R3_CambalinControl15R3,71C-Ct30R3_CambalinControl30R3,72C-Ct45R3_CambalinControl45R3,73K-OL15R1_KununurraOil15R1,74K-OL30R1_KununurraOil30R1,75K-OL45R1_KununurraOil45R1,76K-OL15R2_KununurraOil15R2,77K-OL30R2_KununurraOil30R2,78K-OL45R2_KununurraOil45R2,79K-OL15R3_KununurraOil15R3,80K-OL30R3_KununurraOil30R3,81K-OL45R3_KununurraOil45R3,82K-Ct15R1_KununurraControl15R1,83K-Ct30R1_KununurraControl30R1,84K-Ct45R1_KununurraControl45R1,85K-Ct15R2_KununurraControl15R2,86K-Ct30R2_KununurraControl30R2,87K-Ct45R2_KununurraControl45R2,88K-Ct15R3_KununurraControl15R3,89K-Ct30R3_KununurraControl30R3,90K-Ct45R3_KununurraControl45R3
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2;s__uncultured_forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073051003,0.107233649,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14;s__uncultured_bacterium,0.034095908,0.055842328,0.028206957,0,0.022230456,0.039237288,0,0,0,0,0,0,0,0.087323944,0.014565316,0,0,0,0.032347826,0.012390088,0,0.01772545,0.046972749,0.024067288,0.024382153,0.059506895,0.033712862,0,0,0,0,0,0,0.025641026,0,0,0.014320664,0.024682262,0.040336993,0.034508871,0,0,0,0,0.001770538,0,0,0,0,0,0,0.005349345,0,0.036304213
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured;g__uncultured;s__uncultured_bacterium,0,0.018535899,0.027731559,0.010935143,0.006669137,0.014237288,0,0,0,0,0,0,0,0,0.00887574,0,0,0,0.036869565,0.036370903,0.019945848,0.016690387,0.025660057,0,0,0,0,0,0.074894811,0,0,0.010119466,0.004932273,0,0,0.168654174,0.003938182,0,0.010824611,0.00313717,0.00366087,0,0.004622613,0.007593735,0.019981789,0,0.020743192,0.021853147,0,0,0,0,0.004847417,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia;s__uncultured_Dongia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05187144,0.074740933,0.025391304,0.021382894,0,0.020313106,0.0914007,0.03431046,0.023884558,0.042875052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023415627,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;__,0,0.037853903,0.036526424,0,0.039767815,0.021949153,0,0,0,0,0.183098592,0,0,0,0,0.102978723,0.053702197,0.037176166,0.012405797,0,0,0.060551171,0.053016647,0.001582278,0.042627301,0.022231509,0.042963885,0,0.021598878,0,0,0,0.026354535,0,0,0,0,0,0,0,0,0,0,0,0,0.038711948,0.0352507,0,0,0,0.031017253,0.011026201,0,0.018372935
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__KCM-B-112;s__uncultured_soil,0.034865816,0.001877053,0,0.105706385,0,0.004237288,0.283377209,0.020387481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027373326,0.112934289,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__GAL15;c__GAL15;o__GAL15;f__GAL15;g__GAL15;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058064516,0.250578972,0,0,0,0,0.116532905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Amb-16S-1323;g__Amb-16S-1323;s__uncultured_bacterium,0,0,0,0,0,0,0,0.011862891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051212663,0,0,0,0,0,0.031464994,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__uncultured_bacterium,0,0,0,0,0,0,0.001786386,0,0,0,0,0,0,0,0.006144743,0,0,0,0.025275362,0.018485212,0,0,0.010391263,0,0.009288439,0,0,0,0,0,0,0,0,0,0,0,0.01467868,0.028673175,0.010977789,0.047598442,0,0,0.029175508,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__;__,0.018257809,0,0,0.006284565,0.011856243,0.002711864,0,0.005007452,0.015801354,0,0,0,0,0,0,0,0,0.004404145,0,0,0,0,0,0,0.00199038,0.012787296,0.009517879,0,0,0.004168597,0,0,0,0,0,0,0.005668596,0.010253576,0.037732959,0.015144959,0.005241701,0,0,0.001559428,0.050030352,0.000879817,0,0,0,0.000661157,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24;__,0.049274087,0.057171907,0.026701529,0.015711413,0.188217858,0.01440678,0.011470478,0.00900149,0.086266854,0,0,0,0,0,0,0,0,0,0.016,0.013389289,0,0,0.098080797,0.016988674,0,0.008524864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002812635,0,0,0,0,0,0,0,0,0,0,0,0,0.00154236,0
